Date,Open,High,Low,Close
05/04 12:21,2207.2,2207.85,2206.65,2207.85
05/04 12:20,2208.85,2208.85,2206.7,2207.2
05/04 12:19,2209.25,2209.85,2207.6,2208.85
05/04 12:18,2210.15,2210.45,2208.35,2208.9
05/04 12:17,2212,2212.4,2209.05,2210.15
05/04 12:16,2212.15,2212.4,2212,2212.4
05/04 12:15,2211.35,2212.3,2211.35,2212.15
05/04 12:14,2210.5,2212.15,2210.3,2212.15
05/04 12:13,2207.15,2210.75,2206.65,2210.5
05/04 12:12,2208.3,2208.55,2206.65,2207.15
05/04 12:11,2207.7,2208.3,2207.3,2208.3
05/04 12:10,2208.8,2208.8,2207.6,2207.7
05/04 12:09,2210.05,2210.55,2207.65,2208.8
05/04 12:08,2211.95,2211.95,2210.05,2210.05
05/04 12:07,2211.6,2212.45,2211.1,2211.95
05/04 12:06,2211.2,2212.3,2211.2,2211.55
05/04 12:05,2210.2,2211.4,2210.05,2211.2
05/04 12:04,2207.65,2210.2,2206.95,2210.2
05/04 12:03,2207.35,2208.4,2206.65,2208.4
05/04 12:02,2207.5,2210.6,2206.55,2208.7
05/04 12:01,2208.35,2209.05,2206.8,2207.5
05/04 12:00,2210.35,2211.2,2207.75,2208.35
05/04 11:59,2213.35,2213.35,2210.1,2210.35
05/04 11:58,2209.45,2213.35,2209.45,2213.35
05/04 11:57,2209.05,2210.55,2208.25,2210.35
05/04 11:56,2206.45,2209.05,2205.7,2209.05
05/04 11:55,2204.75,2206.45,2203.25,2206.45
05/04 11:54,2203.75,2204.85,2202.85,2204.75
05/04 11:53,2201.6,2203.75,2201.55,2203.75
05/04 11:52,2202.35,2202.85,2201.45,2201.6
05/04 11:51,2203.8,2203.8,2200.7,2202.35
05/04 11:50,2202.85,2203.8,2202.85,2203.05
05/04 11:49,2203.8,2204.65,2202.85,2202.85
05/04 11:48,2205.15,2205.15,2203.8,2203.8
05/04 11:47,2205,2205.15,2203.75,2205.15
05/04 11:46,2203.3,2205.15,2202.85,2204.3
05/04 11:45,2203.6,2203.8,2202.6,2203.5
05/04 11:44,2203.9,2204.25,2202.85,2202.85
05/04 11:43,2203.8,2204.3,2203.2,2203.9
05/04 11:42,2202.85,2203.85,2202.85,2203.8
05/04 11:41,2202.85,2204,2202.1,2202.85
05/04 11:40,2202.9,2203.15,2202.25,2202.85
05/04 11:39,2203.7,2203.7,2202.85,2202.9
05/04 11:38,2203.8,2204.35,2203.5,2203.7
05/04 11:37,2204.75,2204.75,2203.55,2203.8
05/04 11:36,2204.75,2204.75,2203.85,2204.75
05/04 11:35,2204.3,2204.75,2203.8,2204.75
05/04 11:34,2205.35,2205.35,2203.8,2204.45
05/04 11:33,2205.4,2205.75,2204.35,2205.35
05/04 11:32,2205.7,2206.3,2204.8,2205.4
05/04 11:31,2205.7,2206.9,2205.7,2205.7
05/04 11:30,2207.5,2207.5,2205.7,2205.7
05/04 11:29,2206.5,2207.5,2206.45,2207.5
05/04 11:28,2206.65,2206.9,2205.35,2206.5
05/04 11:27,2206.35,2206.65,2205.7,2206.65
05/04 11:26,2204.05,2206.6,2204.05,2206.35
05/04 11:25,2204.95,2206.3,2204.05,2204.75
05/04 11:24,2208.55,2208.75,2204.95,2204.95
05/04 11:23,2208.75,2209.65,2208.55,2208.55
05/04 11:22,2209.5,2209.9,2208.65,2208.75
05/04 11:21,2209.5,2209.95,2209.05,2209.5
05/04 11:20,2209.5,2209.5,2208.55,2209.5
05/04 11:19,2209.2,2210.3,2208.55,2209.5
05/04 11:18,2211.25,2211.25,2209.2,2209.2
05/04 11:17,2211.25,2211.25,2209.8,2211.25
05/04 11:16,2209.95,2211.8,2209.95,2211.25
05/04 11:15,2209.8,2210.8,2209.15,2210.8
05/04 11:14,2210.15,2211,2209.4,2210.9
05/04 11:13,2210.25,2211.4,2209,2210.1
05/04 11:12,2210.35,2210.55,2209.5,2210.25
05/04 11:11,2209.85,2210.55,2209.55,2210.35
05/04 11:10,2209.5,2210.1,2208.55,2209.85
05/04 11:09,2210.95,2211.2,2208.75,2209.5
05/04 11:08,2210.45,2210.95,2210.45,2210.95
05/04 11:07,2210.55,2210.95,2209.9,2210.45
05/04 11:06,2210.55,2210.55,2209.4,2210.55
05/04 11:05,2209.5,2210.55,2209.1,2210.55
05/04 11:04,2208.2,2209.5,2208.1,2209.5
05/04 11:03,2208.5,2209,2207.85,2208.2
05/04 11:02,2208.55,2209.05,2207.35,2208.5
05/04 11:01,2208.55,2208.65,2207.3,2208.55
05/04 11:00,2207.75,2208.85,2207.75,2208.1
05/04 10:59,2207.6,2208.85,2207.25,2207.75
05/04 10:58,2207.95,2209.05,2206.65,2207.6
05/04 10:57,2208.05,2209,2207.15,2207.95
05/04 10:56,2211.3,2211.4,2208.05,2208.05
05/04 10:55,2209.75,2211.4,2209.75,2211.3
05/04 10:54,2207.6,2209.8,2207.6,2209.8
05/04 10:53,2208.55,2208.95,2207.6,2207.6
05/04 10:52,2208.6,2208.95,2208.55,2208.55
05/04 10:51,2209.5,2209.5,2207.3,2208.6
05/04 10:50,2210.45,2210.45,2209.5,2209.5
05/04 10:49,2210.55,2210.55,2210,2210
05/04 10:48,2210.75,2210.75,2209.5,2209.6
05/04 10:47,2211.65,2211.65,2209.55,2210.55
05/04 10:46,2212.85,2213.45,2211.6,2211.65
05/04 10:45,2213.55,2214.65,2212.45,2212.45
05/04 10:44,2214.3,2214.85,2213.55,2213.55
05/04 10:43,2215.5,2215.5,2214.3,2214.3
05/04 10:42,2215.5,2215.65,2214.35,2215.5
05/04 10:41,2215.85,2215.85,2214.15,2215.5
05/04 10:40,2215.3,2215.95,2214.25,2215.85
05/04 10:39,2215.25,2215.85,2214.3,2215.35
05/04 10:38,2215.5,2216.15,2214.75,2215.25
05/04 10:37,2214.8,2216.5,2214.35,2215.5
05/04 10:36,2217.35,2217.5,2214.8,2214.8
05/04 10:35,2215.4,2217.75,2214.4,2216.3
05/04 10:34,2214.25,2215.65,2214.25,2215.4
05/04 10:33,2215.25,2215.25,2213.8,2214.25
05/04 10:32,2215.8,2216,2214.7,2215.25
05/04 10:31,2215.2,2216.2,2214.55,2215.8
05/04 10:30,2214.55,2215.45,2214.3,2215.2
05/04 10:29,2216.05,2216.05,2214.55,2214.55
05/04 10:28,2216.2,2216.5,2214.35,2215.55
05/04 10:27,2215.7,2216.7,2215.7,2216.2
05/04 10:26,2216.3,2216.35,2215.2,2215.7
05/04 10:25,2216.2,2217,2215,2216.3
05/04 10:24,2217.65,2218.45,2216.2,2216.2
05/04 10:23,2218.3,2218.3,2217.05,2217.65
05/04 10:22,2215.5,2218.3,2215.5,2218.3
05/04 10:21,2214.65,2216.6,2214.55,2215.5
05/04 10:20,2214.95,2215.9,2213.75,2214.65
05/04 10:19,2216.25,2217.5,2214.2,2214.2
05/04 10:18,2217.5,2218.5,2216.25,2216.25
05/04 10:17,2215.7,2217.5,2215.7,2217.5
05/04 10:16,2217.25,2217.95,2215.05,2215.7
05/04 10:15,2214.3,2217.05,2213.4,2217.05
05/04 10:14,2215.25,2215.25,2213.4,2214.3
05/04 10:13,2214.9,2215.25,2213.4,2215.25
05/04 10:12,2214.3,2214.9,2213.15,2214.9
05/04 10:11,2215.8,2215.85,2214.3,2214.3
05/04 10:10,2213.55,2215.8,2212.95,2215.8
05/04 10:09,2215,2215,2212.45,2213.55
