Date,open ,high,low,close
10/4/2023 13:56:00,"2,225.70","2,226.95","2,225.70","2,225.70"
10/4/2023 13:55:00,"2,226.15","2,226.70","2,225.40","2,225.70"
10/4/2023 13:54:00,"2,227.50","2,227.50","2,225.55","2,226.15"
10/4/2023 13:53:00,"2,230.20","2,230.20","2,227.50","2,227.50"
10/4/2023 13:52:00,"2,229.05","2,230.50","2,228.60","2,230.20"
10/4/2023 13:51:00,"2,228.95","2,229.65","2,228.40","2,229.05"
10/4/2023 13:50:00,"2,226.20","2,228.95","2,226.20","2,228.95"
10/4/2023 13:49:00,"2,226.25","2,226.25","2,226.00","2,226.20"
10/4/2023 13:48:00,"2,228.10","2,228.10","2,226.25","2,226.25"
10/4/2023 13:47:00,"2,229.00","2,229.00","2,228.10","2,228.10"
10/4/2023 13:46:00,"2,228.10","2,229.00","2,228.10","2,229.00"
10/4/2023 13:45:00,"2,226.95","2,228.10","2,226.95","2,228.10"
10/4/2023 13:44:00,"2,227.45","2,227.45","2,225.95","2,226.95"
10/4/2023 13:43:00,"2,226.70","2,227.50","2,226.70","2,227.45"
10/4/2023 13:42:00,"2,226.70","2,226.70","2,226.60","2,226.70"
10/4/2023 13:41:00,"2,227.80","2,227.80","2,226.70","2,226.70"
10/4/2023 13:40:00,"2,227.95","2,228.20","2,227.05","2,227.80"
10/4/2023 13:39:00,"2,229.05","2,229.05","2,227.05","2,227.95"
10/4/2023 13:38:00,"2,229.65","2,229.65","2,228.70","2,229.05"
10/4/2023 13:37:00,"2,228.70","2,229.65","2,228.70","2,229.65"
10/4/2023 13:36:00,"2,228.70","2,228.70","2,228.70","2,228.70"
10/4/2023 13:35:00,"2,229.55","2,230.05","2,228.70","2,228.70"
10/4/2023 13:34:00,"2,229.55","2,229.55","2,229.55","2,229.55"
10/4/2023 13:33:00,"2,229.55","2,230.00","2,229.55","2,229.55"
10/4/2023 13:32:00,"2,230.75","2,230.75","2,229.55","2,229.55"
10/4/2023 13:31:00,"2,229.55","2,230.75","2,229.55","2,230.75"
10/4/2023 13:30:00,"2,230.75","2,230.75","2,229.55","2,229.55"
10/4/2023 13:29:00,"2,229.85","2,230.75","2,229.85","2,230.75"
10/4/2023 13:28:00,"2,229.55","2,229.85","2,229.55","2,229.85"
10/4/2023 13:27:00,"2,229.85","2,231.15","2,229.55","2,229.55"
